timesteps,mean_step_reward,mean_penalty_total,mean_penalty_rocks,mean_penalty_slopes,mean_progress,mean_goal_reward,mean_oob_reward,mean_total_reward,mean_episode_return,mean_episode_length,mean_dist_to_goal_m,safe_fraction
3000,-0.009999998845160007,-0.011860700324177742,0.0,-0.011860700324177742,0.04589001461863518,0.0,0.0,0.024029314517974854,9.58205509185791,69.8,7.497691631317139,0.9666666388511658
6000,-0.009999998845160007,-0.017739715054631233,0.0,-0.017739715054631233,0.010414640419185162,0.0,0.0,-0.01732507161796093,14.206894874572754,95.3,9.071508407592773,0.9666666388511658
9000,-0.009999998845160007,-0.0033357643987983465,0.0,-0.0033357643987983465,0.04537643864750862,0.0,0.0,0.03204067796468735,20.34525489807129,92.76666666666667,7.57037353515625,1.0
12000,-0.009999998845160007,-0.008263195864856243,0.0,-0.008263195864856243,0.02733135223388672,0.0,0.0,0.009068156592547894,18.0284423828125,73.16666666666667,8.253104209899902,1.0
15000,-0.009999998845160007,-0.011683452874422073,0.0,-0.011683452874422073,0.03279156610369682,0.0,0.0,0.011108114384114742,19.854413986206055,82.03333333333333,7.457618713378906,1.0
18000,-0.009999998845160007,-0.013683079741895199,0.0,-0.013683079741895199,0.02725541591644287,0.0,0.0,0.003572337795048952,20.776451110839844,122.7,8.045208930969238,0.9666666388511658
21000,-0.009999998845160007,-0.025283686816692352,0.0,-0.025283686816692352,0.021219491958618164,0.0,0.0,-0.014064192771911621,19.734134674072266,101.53333333333333,8.83401870727539,0.8999999761581421
24000,-0.009999998845160007,-0.010181652382016182,0.0,-0.010181652382016182,0.051815152168273926,0.0,0.0,0.03163350000977516,21.037214279174805,100.16666666666667,8.235044479370117,0.9666666388511658
27000,-0.009999998845160007,-0.005665965378284454,0.0,-0.005665965378284454,0.03951827809214592,0.0,0.0,0.02385231852531433,26.145437240600586,81.66666666666667,7.575948238372803,1.0
30000,-0.009999998845160007,-0.0032369664404541254,0.0,-0.0032369664404541254,0.05032821372151375,0.0,0.0,0.03709125146269798,22.81744956970215,78.1,7.756106376647949,1.0
33000,-0.009999998845160007,-0.014089120551943779,0.0,-0.014089120551943779,0.052546024322509766,0.0,0.0,0.028456905856728554,22.86553192138672,83.76666666666667,7.403284549713135,0.9666666388511658
36000,-0.009999998845160007,-0.01177384052425623,0.0,-0.01177384052425623,0.03514377400279045,0.0,0.0,0.013369935564696789,18.067781448364258,74.8,7.7100372314453125,0.9666666388511658
39000,-0.009999998845160007,0.0,0.0,0.0,0.05758901312947273,0.0,0.0,0.0475890189409256,22.488170623779297,66.89655172413794,7.1102776527404785,1.0
42000,-0.009999998845160007,-0.01482926495373249,0.0,-0.01482926495373249,0.5203428268432617,0.0,0.0,0.49551352858543396,23.445621490478516,79.48275862068965,7.234279155731201,0.9666666388511658
45000,-0.009999998845160007,-5.266268999548629e-05,0.0,-5.266268999548629e-05,0.062492650002241135,0.0,0.0,0.052439991384744644,21.797258377075195,90.93103448275862,7.431662082672119,1.0
48000,-0.009999998845160007,-0.01104644127190113,0.0,-0.01104644127190113,0.1670367568731308,0.0,0.0,0.1459903120994568,18.13125228881836,67.33333333333333,7.454880714416504,0.9333333373069763
51000,-0.009999998845160007,-0.02198987826704979,0.0,-0.02198987826704979,0.04842213913798332,0.0,0.0,0.0164322629570961,27.982646942138672,99.2,6.364481449127197,0.9333333373069763
54000,-0.009999998845160007,-0.009415974840521812,0.0,-0.009415974840521812,0.6053001880645752,0.0,0.0,0.5858842134475708,26.351261138916016,81.42857142857143,6.272526741027832,1.0
57000,-0.009999998845160007,-0.020329536870121956,0.0,-0.020329536870121956,0.04162655398249626,0.0,0.0,0.011297016404569149,21.074703216552734,91.53333333333333,8.099625587463379,0.9666666388511658
60000,-0.009999998845160007,-0.0028436342254281044,0.0,-0.0028436342254281044,0.06175607442855835,0.0,0.0,0.04891244322061539,26.01034927368164,71.66666666666667,6.189638614654541,1.0
63000,-0.009999998845160007,-0.012475247494876385,0.0,-0.012475247494876385,0.016552090644836426,0.0,0.0,-0.005923157557845116,21.884845733642578,102.73333333333333,7.478219509124756,0.9666666388511658
66000,-0.009999998845160007,-0.023678025230765343,-0.00033509574132040143,-0.023342929780483246,0.04260164499282837,0.0,0.0,0.008923622779548168,24.922292709350586,83.9,6.573832035064697,0.9666666388511658
69000,-0.009999998845160007,-0.0020324778743088245,0.0,-0.0020324778743088245,0.07413434982299805,0.0,0.0,0.06210187450051308,26.376056671142578,81.6,6.751431941986084,1.0
72000,-0.009999998845160007,-0.006739117205142975,0.0,-0.006739117205142975,0.7329970002174377,0.0,0.0,0.7162578701972961,18.73809051513672,74.51724137931035,8.706524848937988,0.9666666388511658
75000,-0.009999998845160007,-0.002545576076954603,0.0,-0.002545576076954603,0.07815273851156235,0.0,0.0,0.06560716032981873,22.11610984802246,97.9,8.204581260681152,1.0
