timesteps,mean_step_reward,mean_penalty_total,mean_penalty_rocks,mean_penalty_slopes,mean_progress,mean_goal_reward,mean_oob_reward,mean_total_reward,mean_episode_return,mean_episode_length,mean_dist_to_goal_m,safe_fraction
3000,-0.009999998845160007,-0.009837472811341286,-0.0036350323352962732,-0.006202440243214369,0.048140447586774826,0.0,0.0,0.028302976861596107,9.64968490600586,74.66666666666667,7.7022881507873535,1.0
6000,-0.009999998845160007,-0.0008902557892724872,0.0,-0.0008902557892724872,0.6768177151679993,0.0,0.0,0.6659274697303772,18.858095169067383,108.7,8.255478858947754,1.0
9000,-0.009999998845160007,-0.034917764365673065,0.0,-0.034917764365673065,0.03857779502868652,0.0,0.0,-0.006339965853840113,24.49046516418457,69.83333333333333,7.645569801330566,0.8999999761581421
12000,-0.009999998845160007,-0.001216914621181786,0.0,-0.001216914621181786,0.0585501603782177,0.0,0.0,0.0473332479596138,29.941373825073242,65.8,6.378871440887451,1.0
15000,-0.009999998845160007,-0.005985074210911989,-0.002498551271855831,-0.0034865227062255144,0.05750874802470207,0.0,0.0,0.04152367636561394,33.900733947753906,85.36666666666666,5.965243339538574,0.9666666388511658
18000,-0.009999998845160007,-0.05314617231488228,0.0,-0.05314617231488228,0.07219704240560532,0.0,0.0,0.009050875902175903,18.493600845336914,76.10714285714286,7.915994644165039,0.8666666746139526
21000,-0.009999998845160007,0.0,0.0,0.0,0.05797405168414116,0.0,0.0,0.047974053770303726,15.117104530334473,84.4,8.702523231506348,1.0
24000,-0.009999998845160007,-0.6708809733390808,-0.6666666865348816,-0.004214284475892782,0.05257769301533699,0.0,0.0,-0.6283033490180969,24.08576774597168,82.0,7.289909362792969,0.9666666388511658
27000,-0.009999998845160007,-0.024102339521050453,0.0,-0.024102339521050453,0.03079068660736084,0.0,0.0,-0.003311654319986701,22.540803909301758,93.33333333333333,7.388164043426514,0.9666666388511658
30000,-0.009999998845160007,-0.0002963058359455317,0.0,-0.0002963058359455317,0.048148930072784424,0.0,0.0,0.03785262629389763,20.5737247467041,81.9,7.408066749572754,1.0
33000,-0.009999998845160007,-0.005134105682373047,0.0,-0.005134105682373047,0.08008122444152832,0.0,0.0,0.06494712829589844,24.189647674560547,80.86666666666666,7.65850830078125,1.0
36000,-0.009999998845160007,-0.022646447643637657,-0.020871680229902267,-0.0017747656675055623,0.025926589965820312,0.0,0.0,-0.006719854194670916,22.71674919128418,82.7,7.198849678039551,0.9666666388511658
39000,-0.009999998845160007,-0.01796790026128292,0.0,-0.01796790026128292,0.045101720839738846,0.0,0.0,0.01713382638990879,20.94366455078125,79.36666666666666,8.10218620300293,0.9666666388511658
42000,-0.009999998845160007,-0.027164440602064133,-0.0020732672419399023,-0.025091174989938736,0.023998498916625977,0.0,0.0,-0.013165940530598164,19.763975143432617,78.56666666666666,8.218049049377441,0.9333333373069763
45000,-0.009999998845160007,-0.010266151279211044,0.0,-0.010266151279211044,0.03745320811867714,0.0,0.0,0.017187053337693214,15.342771530151367,85.93333333333334,8.245413780212402,0.9666666388511658
48000,-0.009999998845160007,-0.01817764900624752,0.0,-0.01817764900624752,0.03304298594594002,0.0,0.0,0.004865341819822788,23.854524612426758,97.16666666666667,6.806647777557373,0.9666666388511658
51000,-0.009999998845160007,-0.013051429763436317,0.0,-0.013051429763436317,1.9830743074417114,0.0,0.0,1.9600234031677246,23.70624542236328,92.96666666666667,7.182202339172363,0.9666666388511658
54000,-0.009999998845160007,-0.008148481138050556,0.0,-0.008148481138050556,0.005119919776916504,0.0,0.0,-0.01302856020629406,16.852022171020508,92.26666666666667,8.140461921691895,0.9666666388511658
57000,-0.009999998845160007,-0.0029357164166867733,0.0,-0.0029357164166867733,0.011708219535648823,0.0,0.0,-0.001227496424689889,20.064931869506836,89.06666666666666,7.866797924041748,1.0
60000,-0.009999998845160007,-0.000704290927387774,0.0,-0.000704290927387774,0.6542331576347351,0.0,0.0,0.6435288786888123,22.459131240844727,65.82758620689656,6.834559917449951,1.0
63000,-0.009999998845160007,-0.00039943060255609453,0.0,-0.00039943060255609453,0.06407936662435532,0.0,0.0,0.0536799393594265,21.991222381591797,83.5,7.481128215789795,1.0
66000,-0.009999998845160007,-0.006261003203690052,0.0,-0.006261003203690052,0.04895417019724846,0.0,0.0,0.03269316256046295,20.584400177001953,105.46666666666667,7.549906253814697,1.0
69000,-0.009999998845160007,-0.002057335339486599,0.0,-0.002057335339486599,0.030258039012551308,0.0,0.0,0.0182007048279047,20.839946746826172,117.41379310344827,7.1305975914001465,1.0
72000,-0.009999998845160007,-0.0011086456943303347,0.0,-0.0011086456943303347,1.3768463134765625,0.0,0.0,1.3657382726669312,24.37099838256836,88.43333333333334,7.242064952850342,1.0
75000,-0.009999998845160007,-0.03653397411108017,0.0,-0.03653397411108017,0.033906299620866776,0.0,0.0,-0.012627671472728252,26.902843475341797,108.43333333333334,7.790760517120361,0.9333333373069763
78000,-0.009999998845160007,-0.004224204458296299,0.0,-0.004224204458296299,0.04348258301615715,0.0,0.0,0.029258377850055695,24.82630157470703,83.6,7.203965663909912,1.0
81000,-0.009999998845160007,-0.00722176069393754,0.0,-0.00722176069393754,0.06125732138752937,0.0,0.0,0.04403556138277054,17.37291717529297,76.6896551724138,7.66048002243042,0.9666666388511658
84000,-0.009999998845160007,-0.01945800706744194,0.0,-0.01945800706744194,0.03208323195576668,0.0,0.0,0.0026252286043018103,23.72902488708496,106.75862068965517,7.238062858581543,0.9666666388511658
87000,-0.009999998845160007,-0.006540271453559399,0.0,-0.006540271453559399,0.7950820922851562,0.0,0.0,0.7785417437553406,21.091936111450195,88.6,7.519932746887207,1.0
90000,-0.009999998845160007,-0.024437516927719116,0.0,-0.024437516927719116,0.09428945928812027,0.0,0.0,0.05985195189714432,24.965253829956055,66.0,6.317562580108643,0.9333333373069763
93000,-0.009999998845160007,-0.027213791385293007,0.0,-0.027213791385293007,0.029669323936104774,0.0,0.0,-0.007544462103396654,24.05501365661621,86.10344827586206,6.308690547943115,0.9666666388511658
96000,-0.009999998845160007,-0.01635502092540264,0.0,-0.01635502092540264,0.05108584836125374,0.0,0.0,0.024730831384658813,18.713550567626953,89.76666666666667,7.42218542098999,0.9666666388511658
99000,-0.009999998845160007,-0.00948928389698267,0.0,-0.00948928389698267,0.027327537536621094,0.0,0.0,0.007838253863155842,22.174236297607422,92.0,6.690095901489258,0.9666666388511658
102000,-0.009999998845160007,-0.002821408910676837,0.0,-0.002821408910676837,0.04765588045120239,0.0,0.0,0.034834470599889755,20.234901428222656,97.23333333333333,7.477807521820068,1.0
105000,-0.009999998845160007,-0.007932686246931553,0.0,-0.007932686246931553,0.03754035755991936,0.0,0.0,0.019607672467827797,20.13681983947754,89.06666666666666,8.155600547790527,1.0
108000,-0.009999998845160007,-0.007192366290837526,0.0,-0.007192366290837526,0.03622506186366081,0.0,0.0,0.019032694399356842,23.471271514892578,82.4,7.501828670501709,0.9666666388511658
111000,-0.009999998845160007,-0.0024437156971544027,0.0,-0.0024437156971544027,0.03484233096241951,0.0,0.0,0.02239861898124218,27.28086280822754,96.03333333333333,6.587282180786133,1.0
114000,-0.009999998845160007,-0.006249097641557455,0.0,-0.006249097641557455,0.04153132438659668,0.0,0.0,0.025282230228185654,25.20766258239746,87.5,6.878296852111816,1.0
117000,-0.009999998845160007,-0.005348628852516413,0.0,-0.005348628852516413,0.011433243751525879,0.0,0.0,-0.003915385343134403,23.527433395385742,77.51724137931035,7.716569900512695,1.0
120000,-0.009999998845160007,-0.0023520097602158785,0.0,-0.0023520097602158785,0.031744521111249924,0.0,0.0,0.01939251460134983,22.340139389038086,86.63333333333334,7.86967658996582,1.0
123000,-0.009999998845160007,-0.01919092983007431,0.0,-0.01919092983007431,1.4116228818893433,0.0,0.0,1.3824323415756226,27.951364517211914,77.06666666666666,6.749898910522461,0.9333333373069763
126000,-0.009999998845160007,-0.02871747501194477,0.0,-0.02871747501194477,0.06373029947280884,0.0,0.0,0.025012830272316933,28.375022888183594,96.7,7.154537677764893,0.8999999761581421
129000,-0.009999998845160007,-0.008083179593086243,0.0,-0.008083179593086243,0.05564184859395027,0.0,0.0,0.037558674812316895,26.267261505126953,111.93103448275862,7.249416828155518,0.9666666388511658
132000,-0.009999998845160007,-0.005451875273138285,0.0,-0.005451875273138285,0.02429739572107792,0.0,0.0,0.008845522068440914,25.55390167236328,87.43333333333334,6.469401836395264,1.0
135000,-0.009999998845160007,-0.005934134591370821,0.0,-0.005934134591370821,0.05225694179534912,0.0,0.0,0.036322809755802155,16.414934158325195,73.03333333333333,8.633967399597168,1.0
138000,-0.009999998845160007,-0.006383049301803112,0.0,-0.006383049301803112,0.06815008074045181,0.0,0.0,0.05176703631877899,20.3281307220459,86.75862068965517,8.618661880493164,0.9666666388511658
141000,-0.009999998845160007,-0.011906785890460014,-0.004471992142498493,-0.007434793282300234,0.08896609395742416,0.0,0.0,0.06705930829048157,25.285158157348633,90.06666666666666,7.246199131011963,1.0
144000,-0.009999998845160007,-0.004044368397444487,-0.0007151540485210717,-0.003329214174300432,0.07745146751403809,0.0,0.0,0.06340710818767548,22.54903793334961,91.83333333333333,6.944204807281494,1.0
147000,-0.009999998845160007,-0.011853886768221855,0.0,-0.011853886768221855,0.5630410313606262,0.0,0.0,0.5411872267723083,27.157243728637695,84.76666666666667,6.259823799133301,0.9333333373069763
150000,-0.009999998845160007,-0.005324211902916431,0.0,-0.005324211902916431,0.027459463104605675,0.0,0.0,0.01213525328785181,16.914512634277344,93.76666666666667,7.691190242767334,0.9666666388511658
153000,-0.009999998845160007,-0.004096857737749815,0.0,-0.004096857737749815,0.022396445274353027,0.0,0.0,0.008299587294459343,18.13165283203125,96.56666666666666,8.353107452392578,0.9666666388511658
156000,-0.009999998845160007,-0.012816212140023708,0.0,-0.012816212140023708,0.04482577368617058,0.0,0.0,0.022009562700986862,26.652225494384766,86.3103448275862,6.935907363891602,0.9333333373069763
159000,-0.009999998845160007,-0.007139557506889105,0.0,-0.007139557506889105,0.055776435881853104,0.0,0.0,0.03863687813282013,18.007701873779297,107.9,7.542741775512695,1.0
162000,-0.009999998845160007,-0.009720424190163612,0.0,-0.009720424190163612,0.012125532142817974,0.0,0.0,-0.007594891358166933,23.217180252075195,95.73333333333333,7.147021770477295,1.0
165000,-0.009999998845160007,-0.004438166972249746,0.0,-0.004438166972249746,0.0797702893614769,0.0,0.0,0.06533212214708328,21.901447296142578,88.0,7.11187219619751,1.0
168000,-0.009999998845160007,-0.00836546067148447,0.0,-0.00836546067148447,0.0547286681830883,0.0,0.0,0.036363206803798676,23.33984375,81.26666666666667,5.888525009155273,0.9666666388511658
171000,-0.009999998845160007,-0.005791428964585066,0.0,-0.005791428964585066,0.03613973781466484,0.0,0.0,0.020348308607935905,17.0169734954834,103.86666666666666,6.359339237213135,1.0
174000,-0.009999998845160007,-0.010946067050099373,0.0,-0.010946067050099373,0.02428988553583622,0.0,0.0,0.003343819873407483,11.04848575592041,90.76666666666667,7.79550838470459,1.0
177000,-0.009999998845160007,-0.010082468390464783,-0.0053627886809408665,-0.004719679709523916,0.038402657955884933,0.0,0.0,0.01832018978893757,15.234627723693848,78.53333333333333,7.802352428436279,0.9666666388511658
180000,-0.009999998845160007,-0.013883787207305431,0.0,-0.013883787207305431,0.0426991768181324,0.0,0.0,0.01881539449095726,15.035612106323242,92.41379310344827,7.429769992828369,0.9666666388511658
183000,-0.009999998845160007,-0.0229894258081913,0.0,-0.0229894258081913,0.03571993112564087,0.0,0.0,0.002730506705120206,20.55478286743164,117.1,7.730172634124756,0.9666666388511658
